# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
209  -4.487407e-03  -4.369344e-03  -9.830599e-04  -4.489172e-03  -4.371790e-03  -9.828899e-04  2.445478e-06
210  -3.371437e-03  2.400463e-03  2.092202e-03  -3.374079e-03  2.403977e-03  2.093590e-03  3.514611e-06
211  2.724679e-03  -4.839229e-03  -2.052307e-04  2.721222e-03  -4.838095e-03  -2.091029e-04  3.872183e-06
212  -1.169809e-04  2.802946e-03  2.942182e-03  -1.182838e-04  2.801212e-03  2.938927e-03  3.255126e-06
213  1.125293e-03  -1.183364e-03  -1.465156e-03  1.127383e-03  -1.182177e-03  -1.459298e-03  5.858476e-06
214  1.104338e-02  -1.990960e-03  -6.203560e-03  1.104038e-02  -1.991155e-03  -6.205569e-03  3.004192e-06
215  -1.167402e-02  1.242886e-03  7.122960e-03  -1.167524e-02  1.244305e-03  7.123576e-03  1.419340e-06
216  -2.652808e-03  -7.540098e-04  3.035375e-03  -2.655323e-03  -7.522010e-04  3.036234e-03  2.514625e-06
217  4.384391e-03  1.335923e-03  -1.904512e-03  4.385309e-03  1.334159e-03  -1.904028e-03  1.763653e-06
218  -5.022981e-03  -2.848028e-03  4.662404e-03  -5.023335e-03  -2.845013e-03  4.663515e-03  3.015633e-06
219  6.291307e-03  2.168085e-03  -3.517083e-03  6.291753e-03  2.166413e-03  -3.517896e-03  1.671330e-06
220  -1.080804e-02  -9.349968e-03  6.079921e-03  -1.080824e-02  -9.351462e-03  6.082455e-03  2.533428e-06
221  9.110959e-03  1.158545e-02  -2.834160e-03  9.111771e-03  1.158653e-02  -2.835464e-03  1.303844e-06
222  7.094795e-04  -7.501692e-03  5.049385e-03  7.093292e-04  -7.498911e-03  5.049125e-03  2.780400e-06
