# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
117  -6.209986e-03  -1.159497e-02  2.424071e-03  -6.207755e-03  -1.159794e-02  2.422609e-03  2.967577e-06
118  6.508320e-03  1.148369e-02  -1.259067e-03  6.506517e-03  1.148241e-02  -1.259976e-03  1.802690e-06
119  -5.799246e-03  -1.060975e-02  1.468548e-03  -5.793301e-03  -1.060456e-02  1.469771e-03  5.945122e-06
120  -2.807672e-03  2.284347e-03  -6.092771e-04  -2.805352e-03  2.285764e-03  -6.082790e-04  2.320229e-06
121  3.161418e-03  -1.292543e-03  -1.935011e-04  3.162917e-03  -1.296032e-03  -1.920083e-04  3.489923e-06
122  -9.551793e-03  -4.162438e-03  -3.852733e-03  -9.549870e-03  -4.162191e-03  -3.852703e-03  1.923783e-06
123  1.265225e-02  2.226515e-03  2.923532e-03  1.265227e-02  2.228755e-03  2.923918e-03  2.239735e-06
124  -3.371617e-04  5.827408e-04  9.544040e-04  -3.415763e-04  5.809855e-04  9.539870e-04  4.414634e-06
125  -6.703355e-05  -3.769717e-04  -8.393163e-04  -6.494884e-05  -3.761472e-04  -8.416766e-04  2.360311e-06
126  1.050754e-02  -1.978852e-02  3.386511e-03  1.050880e-02  -1.978518e-02  3.386323e-03  3.338199e-06
127  -1.084079e-02  2.124956e-02  -1.107416e-03  -1.084006e-02  2.124773e-02  -1.107844e-03  1.832384e-06
128  -9.745865e-03  1.937395e-03  1.356764e-02  -9.745930e-03  1.936234e-03  1.356868e-02  1.160956e-06
129  8.786125e-03  -3.194423e-03  -1.435603e-02  8.789002e-03  -3.195791e-03  -1.435583e-02  2.877804e-06
130  2.675056e-02  7.406492e-03  -2.031538e-02  2.674693e-02  7.403832e-03  -2.031146e-02  3.921709e-06
131  -2.277273e-02  -9.746333e-03  1.968152e-02  -2.277244e-02  -9.746611e-03  1.968190e-02  3.829022e-07
132  4.556812e-02  1.696256e-02  -3.547863e-02  4.557022e-02  1.696323e-02  -3.548008e-02  2.096723e-06
133  -4.490070e-02  -1.601834e-02  3.570533e-02  -4.489819e-02  -1.602067e-02  3.570654e-02  2.511533e-06
134  6.923924e-03  8.243001e-03  -5.361001e-03  6.925833e-03  8.241835e-03  -5.359159e-03  1.909150e-06
135  -9.248853e-03  -7.764035e-03  3.363585e-03  -9.249139e-03  -7.763863e-03  3.366263e-03  2.677870e-06
136  2.528986e-03  1.723771e-02  1.224051e-02  2.529048e-03  1.724068e-02  1.224009e-02  2.964176e-06
137  -1.794069e-03  -1.682900e-02  -1.327906e-02  -1.793410e-03  -1.682604e-02  -1.327668e-02  2.953398e-06
138  6.123026e-03  7.085385e-04  -1.841542e-03  6.125842e-03  7.055483e-04  -1.842755e-03  2.990207e-06
139  -6.014575e-03  5.794300e-04  1.876633e-03  -6.008201e-03  5.770794e-04  1.879592e-03  6.374304e-06
140  -2.501731e-03  -9.488654e-04  -4.054392e-03  -2.501412e-03  -9.511894e-04  -4.052976e-03  2.323967e-06
141  1.043127e-03  2.520718e-03  4.912646e-03  1.040999e-03  2.519208e-03  4.912467e-03  2.128851e-06
142  5.815484e-03  -2.292466e-02  2.400259e-02  5.816147e-03  -2.292622e-02  2.400261e-02  1.557198e-06
143  -2.191774e-03  2.303759e-02  -2.341182e-02  -2.191804e-03  2.303585e-02  -2.341296e-02  1.734540e-06
144  3.801599e-02  -3.425267e-02  1.270540e-02  3.801435e-02  -3.425446e-02  1.270486e-02  1.791360e-06
145  -3.966835e-02  3.566996e-02  -1.263012e-02  -3.966828e-02  3.567083e-02  -1.262597e-02  4.144066e-06
146  -2.874318e-03  6.561008e-03  -1.339179e-02  -2.876122e-03  6.558457e-03  -1.339195e-02  2.550977e-06
147  6.140498e-04  -9.046866e-03  1.314655e-02  6.148797e-04  -9.046425e-03  1.314421e-02  2.345766e-06
148  -2.653327e-04  -3.436845e-03  -2.060876e-03  -2.680807e-04  -3.438751e-03  -2.060577e-03  2.748024e-06
149  9.185434e-04  2.194471e-03  2.284384e-03  9.207753e-04  2.195921e-03  2.284071e-03  2.231832e-06
150  2.568706e-03  -7.250464e-04  -2.824720e-03  2.563404e-03  -7.262840e-04  -2.823365e-03  5.302219e-06
151  -3.283409e-03  1.579859e-03  3.334641e-03  -3.284864e-03  1.578962e-03  3.332929e-03  1.712121e-06
152  1.197697e-02  -1.776206e-02  -1.348613e-02  1.197632e-02  -1.776473e-02  -1.348706e-02  2.661733e-06
153  -1.130024e-02  2.225369e-02  1.114949e-02  -1.130153e-02  2.225175e-02  1.114782e-02  1.937499e-06
154  1.177159e-04  -1.164707e-03  2.350254e-03  1.154039e-04  -1.165068e-03  2.349902e-03  2.312002e-06
155  1.205625e-03  4.602245e-04  -3.003928e-03  1.205986e-03  4.615977e-04  -3.001413e-03  2.515657e-06
156  7.150057e-03  7.350751e-03  5.250999e-03  7.675848e-03  7.809243e-03  5.583831e-03  5.257909e-04
157  -5.967256e-03  -8.653791e-03  -4.266385e-03  -6.489309e-03  -9.112099e-03  -4.598725e-03  5.220524e-04
158  -3.315875e-03  -1.876818e-03  2.940875e-03  -3.319446e-03  -1.878132e-03  2.941905e-03  3.571495e-06
159  3.830324e-03  3.258360e-03  -8.069625e-04  3.828689e-03  3.255420e-03  -8.059353e-04  2.939328e-06
160  -1.398063e-04  3.609007e-04  4.719480e-03  -1.430621e-04  3.584253e-04  4.716200e-03  3.280031e-06
161  -8.470669e-04  -6.372185e-04  -3.666077e-03  -8.481758e-04  -6.347282e-04  -3.666466e-03  2.490256e-06
162  -2.631773e-02  2.465786e-02  4.243165e-03  -2.631709e-02  2.465886e-02  4.244384e-03  1.218723e-06
163  2.588174e-02  -2.542878e-02  -3.431101e-03  2.588051e-02  -2.542884e-02  -3.432249e-03  1.229940e-06
164  2.598173e-03  -1.882864e-02  -8.275175e-03  2.682185e-03  -1.949447e-02  -8.655662e-03  6.658312e-04
165  -9.491574e-04  1.851016e-02  8.649416e-03  -1.031928e-03  1.917598e-02  9.030777e-03  6.658197e-04
166  1.626290e-02  2.610655e-02  -1.670586e-02  1.626228e-02  2.611030e-02  -1.670818e-02  3.744125e-06
167  -1.392513e-02  -2.553894e-02  1.373065e-02  -1.392498e-02  -2.553929e-02  1.373036e-02  3.530160e-07
168  5.767583e-03  1.831802e-03  1.529495e-03  5.765798e-03  1.834681e-03  1.529311e-03  2.878158e-06
169  -7.792333e-03  -2.895157e-03  -1.097594e-03  -7.790263e-03  -2.896334e-03  -1.093988e-03  3.605687e-06
170  -5.843191e-03  -1.985745e-02  -3.474701e-03  -5.843659e-03  -1.985424e-02  -3.474584e-03  3.215859e-06
171  3.411354e-03  1.853446e-02  1.557421e-03  3.412463e-03  1.853528e-02  1.553702e-03  3.718484e-06
172  -3.611452e-02  -1.013370e-02  3.304940e-03  -3.610839e-02  -1.013131e-02  3.304206e-03  6.128805e-06
173  3.605364e-02  1.202976e-02  -3.879922e-03  3.604822e-02  1.202694e-02  -3.878127e-03  5.424068e-06
174  -4.241189e-03  -7.933252e-03  1.686247e-03  -4.245374e-03  -7.932116e-03  1.684619e-03  4.185295e-06
175  3.699020e-03  7.266837e-03  -1.417874e-03  3.701485e-03  7.270324e-03  -1.417788e-03  3.487282e-06
176  1.859184e-02  2.078851e-02  5.970066e-03  1.808709e-02  2.016548e-02  5.844534e-03  6.230298e-04
177  -2.005316e-02  -2.088975e-02  -6.156775e-03  -1.955064e-02  -2.026572e-02  -6.028770e-03  6.240243e-04
178  9.017165e-03  1.198072e-02  6.507790e-03  9.017737e-03  1.198001e-02  6.505982e-03  1.808000e-06
