# Real-time dipole moment data
# time_ps dipole_x dipole_y dipole_z
4.012500 -456872.798687 -234365.814999 290790.656516
4.012750 -486431.187463 313370.546015 216552.682492
4.013000 -465965.320414 -277274.610864 -214817.879771
4.013250 44619.021479 377544.013060 208993.259348
4.013500 -389424.837473 332097.303328 -205152.133150
4.013750 -457060.936302 353059.588992 -414751.108306
4.014000 -686066.228064 -110966.277283 -206117.749580
4.014250 -341394.817062 49020.012146 179636.409181
4.014500 -582062.687920 -243897.784474 263944.728838
4.014750 76193.540570 27811.665721 -62461.881378
4.015000 -91718.586617 -5939.093592 131876.115211
4.015250 194153.621081 -183754.432142 -76679.162478
4.015500 484587.605979 -213590.820441 -22592.272055
4.015750 230382.469506 -43102.879789 -276878.705092
4.016000 -112751.797928 18919.406163 183482.288348
4.016250 -477115.841861 165482.621018 112468.739131
4.016500 -345601.752542 384516.117019 75390.055648
4.016750 -333609.665911 154588.948325 -194348.870826
4.017000 149295.677967 507044.593920 -212448.455412
4.017250 -396507.758240 82913.038323 -413377.360642
4.017500 -264333.302575 329320.815063 -52967.249068
4.017750 -189705.044326 -29706.727620 49031.508415
4.018000 -194972.776191 393511.459167 30180.945618
4.018250 -407283.605333 -43879.056431 174584.441617
4.018500 190947.630085 368251.620940 326832.359401
4.018750 -966717.656920 -155779.110368 56912.755092
4.019000 -294498.344104 518170.255781 -408727.743758
4.019250 24179.710129 124439.117333 151867.273878
4.019500 -518497.711073 98938.280320 307478.423380
4.019750 -34258.454966 246401.284461 39515.914376
4.020000 632621.714881 6945.930929 56556.708605
4.020250 89187.923600 253054.935049 -346627.428677
4.020500 -312761.461754 260260.466259 -734925.375454
4.020750 -579851.740356 -49468.377177 264649.764744
4.021000 -67424.088874 112767.594922 -129813.945703
4.021250 -558909.629980 15289.592673 -132378.958588
4.021500 152051.980857 321749.714199 -223088.298719
4.021750 -357492.469525 -443197.075582 522342.832921
4.022000 -504825.016438 124701.536103 -130158.242402
4.022250 213257.984541 263720.815579 290444.353355
4.022500 -102159.618234 134568.390276 -310697.797059
4.022750 -23126.865216 -32844.689879 -31102.556709
4.023000 118783.537345 -359032.940966 -159603.288752
4.023250 -211929.249845 175957.327365 -442950.440870
4.023500 -393390.520295 91304.964755 9757.761880
4.023750 -190014.873410 70625.674787 -49761.490074
4.024000 -149133.929222 215756.198737 -392470.529496
4.024250 -310560.309179 240855.648426 -440720.764583
4.024500 -828719.338028 -106143.068291 345970.326707
4.024750 51497.030836 -373186.737791 436310.850292
4.025000 -363198.309151 -232859.993785 57431.840882
4.025250 -428001.759984 155095.319486 425452.920379
4.025500 -587408.057049 49506.314659 109364.499534
4.025750 -53065.919274 72479.115594 248385.966288
4.026000 -127575.170083 -117101.297325 -32700.049124
4.026250 -294429.555276 -417983.610851 97339.956214
4.026500 -239886.567107 -575760.507221 157990.953958
4.026750 -56833.703097 149403.999235 -571765.200337
4.027000 -461198.837754 -277902.019762 -169246.299257
4.027250 660603.390203 -27294.349700 -259101.955561
4.027500 -490576.902155 -592525.748408 211414.068621
4.027750 -209295.806046 -168004.666644 52787.409638
4.028000 -371195.295410 -265272.611638 429830.230504
